species,size bins,count,
Garfish,7.00E+00,0,
Garfish,8.33E+00,0,
Garfish,9.92E+00,0,
Garfish,1.18E+01,0,
Garfish,1.41E+01,0,
Garfish,1.67E+01,0,
Garfish,1.99E+01,0,
Garfish,2.37E+01,0,
Garfish,2.83E+01,0,
Garfish,3.37E+01,0,
Garfish,4.01E+01,0,
Garfish,4.77E+01,0,
Garfish,5.68E+01,0,
Garfish,6.76E+01,0,
Garfish,8.05E+01,0,
Garfish,9.59E+01,0,
Garfish,1.14E+02,0,
Garfish,1.36E+02,0,
Garfish,1.62E+02,0,
Garfish,1.93E+02,0,
Garfish,2.29E+02,0,
Garfish,2.73E+02,0,
Garfish,3.25E+02,0,
Garfish,3.87E+02,0,
Garfish,4.61E+02,0,
Garfish,5.49E+02,0,
Garfish,6.54E+02,0,
Garfish,7.78E+02,0,
Garfish,9.27E+02,0,
Garfish,1.10E+03,0,
Garfish,1.31E+03,0,
Garfish,1.56E+03,0,
Garfish,1.86E+03,0,
Garfish,2.22E+03,0,
Garfish,2.64E+03,0,
Garfish,3.14E+03,0,
Garfish,3.74E+03,0,
Garfish,4.46E+03,0,
Garfish,5.31E+03,0,
Garfish,6.32E+03,0,
Garfish,7.52E+03,0,
Garfish,8.96E+03,0,
Garfish,1.07E+04,0,
Garfish,1.27E+04,0,
Garfish,1.51E+04,0,
Seabass,4.75E-04,0,
Seabass,5.66E-04,0,
Seabass,6.74E-04,0,
Seabass,8.02E-04,0,
Seabass,9.55E-04,0,
Seabass,1.14E-03,0,
Seabass,1.35E-03,0,
Seabass,1.61E-03,0,
Seabass,1.92E-03,0,
Seabass,2.29E-03,0,
Seabass,2.72E-03,0,
Seabass,3.24E-03,0,
Seabass,3.86E-03,0,
Seabass,4.59E-03,0,
Seabass,5.47E-03,0,
Seabass,6.51E-03,0,
Seabass,7.75E-03,0,
Seabass,9.23E-03,0,
Seabass,1.10E-02,0,
Seabass,1.31E-02,0,
Seabass,1.56E-02,0,
Seabass,1.85E-02,0,
Seabass,2.21E-02,0,
Seabass,2.63E-02,0,
Seabass,3.13E-02,0,
Seabass,3.73E-02,0,
Seabass,4.44E-02,0,
Seabass,5.28E-02,0,
Seabass,6.29E-02,0,
Seabass,7.49E-02,0,
Seabass,8.92E-02,0,
Seabass,1.06E-01,0,
Seabass,1.26E-01,0,
Seabass,1.51E-01,0,
Seabass,1.79E-01,0,
Seabass,2.13E-01,0,
Seabass,2.54E-01,0,
Seabass,3.03E-01,0,
Seabass,3.60E-01,0,
Seabass,4.29E-01,0,
Seabass,5.11E-01,0,
Seabass,6.08E-01,0,
Seabass,7.24E-01,0,
Seabass,8.62E-01,0,
Seabass,1.03E+00,0,
Seabass,1.22E+00,0,
Seabass,1.46E+00,0,
Seabass,1.73E+00,0,
Seabass,2.06E+00,0,
Seabass,2.46E+00,0,
Seabass,2.92E+00,0,
Seabass,3.48E+00,0,
Seabass,4.15E+00,0,
Seabass,4.94E+00,0,
Seabass,5.88E+00,0,
Seabass,7.00E+00,0,
Seabass,8.33E+00,0,
Seabass,9.92E+00,0,
Seabass,1.18E+01,0,
Seabass,1.41E+01,0,
Seabass,1.67E+01,0,
Seabass,1.99E+01,1,
Seabass,2.37E+01,0,
Seabass,2.83E+01,0,
Seabass,3.37E+01,0,
Seabass,4.01E+01,0,
Seabass,4.77E+01,0,
Seabass,5.68E+01,0,
Seabass,6.76E+01,0,
Seabass,8.05E+01,0,
Seabass,9.59E+01,0,
Seabass,1.14E+02,0,
Seabass,1.36E+02,0,
Seabass,1.62E+02,0,
Seabass,1.93E+02,0,
Seabass,2.29E+02,0,
Seabass,2.73E+02,0,
Seabass,3.25E+02,0,
Seabass,3.87E+02,0,
Seabass,4.61E+02,0,
Seabass,5.49E+02,0,
Seabass,6.54E+02,0,
Seabass,7.78E+02,0,
Seabass,9.27E+02,0,
Seabass,1.10E+03,0,
Seabass,1.31E+03,0,
Seabass,1.56E+03,0,
Seabass,1.86E+03,0,
Seabass,2.22E+03,0,
Seabass,2.64E+03,0,
Seabass,3.14E+03,0,
Seabass,3.74E+03,0,
Seabass,4.46E+03,0,
Seabass,5.31E+03,0,
Seabass,6.32E+03,0,
Seabass,7.52E+03,0,
Seabass,8.96E+03,0,
Seabass,1.07E+04,0,
Seabass,1.27E+04,0,
Seabass,1.51E+04,0,
Sole,4.75E-04,0,
Sole,5.66E-04,0,
Sole,6.74E-04,0,
Sole,8.02E-04,0,
Sole,9.55E-04,0,
Sole,1.14E-03,0,
Sole,1.35E-03,0,
Sole,1.61E-03,0,
Sole,1.92E-03,0,
Sole,2.29E-03,0,
Sole,2.72E-03,0,
Sole,3.24E-03,0,
Sole,3.86E-03,0,
Sole,4.59E-03,0,
